"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C22","0402C","-838.583mil","1267.716mil","-838.583mil","1267.716mil","-838.583mil","1284.449mil","B","270.00","0.1UF_16V, 0402"
"C21","0402C","-562.992mil","1326.772mil","-562.992mil","1326.772mil","-562.992mil","1310.039mil","B","90.00","0.1UF_16V, 0402"
"C20","0402C","-838.583mil","1542.433mil","-838.583mil","1542.433mil","-838.583mil","1525.701mil","B","90.00","0.1UF_16V, 0402"
"C19","0402C","-566.929mil","1559.055mil","-566.929mil","1559.055mil","-550.197mil","1559.055mil","B","180.00","0.1UF_16V, 0402"
"C18","0402C","-818.898mil","1185.039mil","-818.898mil","1185.039mil","-802.165mil","1185.039mil","B","180.00","2.2UF_6V, 0402"
"C17","0402C","-216.535mil","1377.953mil","-216.535mil","1377.953mil","-233.268mil","1377.953mil","B","360.00","0.1UF_16V, 0402"
"C16","0402C","-216.535mil","1456.693mil","-216.535mil","1456.693mil","-233.268mil","1456.693mil","B","360.00","0.1UF_16V, 0402"
"C15","0402C","-216.535mil","1519.685mil","-216.535mil","1519.685mil","-233.268mil","1519.685mil","B","360.00","0.1UF_16V, 0402"
"C14","0402C","-216.535mil","1582.677mil","-216.535mil","1582.677mil","-233.268mil","1582.677mil","B","360.00","0.1UF_16V, 0402"
"C13","0402C","-948.819mil","1405.512mil","-948.819mil","1405.512mil","-948.819mil","1422.244mil","B","270.00","0.1UF_16V, 0402"
"C12","0402C","-1141.732mil","1566.929mil","-1141.732mil","1566.929mil","-1125mil","1566.929mil","T","180.00","2.2UF_6V, 0402"
"C11","0402C","-1141.732mil","1681.102mil","-1141.732mil","1681.102mil","-1125mil","1681.102mil","T","180.00","2.2UF_6V, 0402"
"C10","0402C","-1051.181mil","1421.26mil","-1051.181mil","1421.26mil","-1067.913mil","1421.26mil","T","0.00","2.2UF_6V, 0402"
"C9","0402C","-1133.858mil","1240.158mil","-1133.858mil","1240.158mil","-1133.858mil","1223.425mil","T","90.00","2.2UF_6V, 0402"
"C8","0402C","-1133.858mil","1240.158mil","-1133.858mil","1240.158mil","-1133.858mil","1223.425mil","B","90.00","2.2UF_6V, 0402"
"C7","0402C","-779.528mil","1574.055mil","-779.528mil","1574.055mil","-779.528mil","1557.323mil","B","90.00","2.2UF_6V, 0402"
"C6","0402C","-566.929mil","1492.126mil","-566.929mil","1492.126mil","-550.197mil","1492.126mil","B","180.00","2.2UF_6V, 0402"
"C5","0805C","1657.48mil","1543.307mil","1657.48mil","1543.307mil","1696.85mil","1543.307mil","B","180.00","10UF_10V, 0805"
"C4","0402C","-149.606mil","1059.055mil","-149.606mil","1059.055mil","-149.606mil","1075.787mil","B","270.00","22PF_50V, 0402"
"C3","0402C","70.866mil","1059.055mil","70.866mil","1059.055mil","70.866mil","1042.323mil","B","90.00","22PF_50V, 0402"
"C2","0402C","-267.716mil","1901.575mil","-267.716mil","1901.575mil","-250.984mil","1901.575mil","T","180.00","22PF_50V, 0402"
"C1","0402C","-370.079mil","1901.575mil","-370.079mil","1901.575mil","-386.811mil","1901.575mil","T","0.00","22PF_50V, 0402"
"D18","LED_1X3_SIDE-YELLOW","-1896.653mil","2076.771mil","-1909.449mil","2076.771mil","-1909.449mil","2007.873mil","B","270.00","LED_1X3_SIDE-YELLOW"
"P4","USB-A-DUAL","-787.399mil","305.117mil","-787.399mil","302.164mil","-925.195mil","302.164mil","T","0.00","USB-A-DUAL"
"FID1","FIDUCIAL","-2125.983mil","2165.354mil","-2125.983mil","2165.354mil","-2125.983mil","2165.354mil","T","0.00","FIDUCIAL"
"D17","LED_1X3_SIDE-WHITE","-1896.652mil","2185.039mil","-1909.448mil","2185.039mil","-1909.448mil","2253.936mil","T","90.00","LED_1X3_SIDE-WHITE"
"D3","LED_1X3_SIDE-GREEN","-1896.652mil","1968.503mil","-1909.448mil","1968.503mil","-1909.448mil","2037.401mil","T","90.00","LED_1X3_SIDE-GREEN"
"D7","LED_1X3_SIDE-GREEN","-1896.652mil","1751.968mil","-1909.448mil","1751.968mil","-1909.448mil","1820.865mil","T","90.00","LED_1X3_SIDE-GREEN"
"D8","LED_1X3_SIDE-GREEN","-1896.652mil","1535.432mil","-1909.448mil","1535.432mil","-1909.448mil","1604.33mil","T","90.00","LED_1X3_SIDE-GREEN"
"D1","LED_1X3_SIDE-YELLOW","-1896.652mil","1318.897mil","-1909.448mil","1318.897mil","-1909.448mil","1387.794mil","T","90.00","LED_1X3_SIDE-YELLOW"
"U23","OGEMRAY_GWF-3M08-XX-T-2","-1515.748mil","2011.811mil","-1795.276mil","2066.929mil","-1751.969mil","2011.811mil","T","270.00","OGEMRAY_GWF-3M08"
"P1","SPEEDTECH_P65-101-1HQ9","1450.789mil","748.031mil","1279.529mil","748.031mil","1179.135mil","522.44mil","T","270.00","HANRUN_HR851150H"
"P2","USB-A-SMT","-1476.377mil","688.976mil","-1417.322mil","688.976mil","-1397.637mil","826.771mil","T","270.00","USB-A-SMT"
"P3","USB-MICRO-B","-1802.658mil","196.85mil","-1715.551mil","196.85mil","-1751.968mil","248.031mil","T","270.00","USB-MICRO-B"
"U13","TS2M08-HFF11","1288.387mil","1714.566mil","1669.293mil","1173.228mil","1751.97mil","1377.952mil","T","360.00","COSY_TS2M08-HF111"
"FID2","FIDUCIAL","2106.3mil","137.794mil","2106.3mil","137.794mil","2106.3mil","137.794mil","T","0.00","FIDUCIAL"
"SD1","MOLEX_104031-0811","-152.559mil","277.559mil","-149.606mil","-102.362mil","-27.559mil","66.929mil","T","0.00","MOLEX_104031-0811"
"J1","CUI_PJ-037B","1543.307mil","188.976mil","1425.197mil","188.976mil","1425.197mil","188.976mil","T","270.00","CUI_PJ-037BH"
"L19","PANASONIC_EXC24C","-602.36mil","531.497mil","-602.362mil","531.496mil","-575.783mil","542.326mil","T","360.00","MURATA_DLP11TB800UL2"
"M1","MTG_M2.5_UNPLATED","-1500mil","2185.039mil","-1500mil","2185.039mil","-1500mil","2185.039mil","T","0.00","MTG_M2.5_UNPLATED"
"M2","MTG_M2.5_UNPLATED","500mil","2185.039mil","500mil","2185.039mil","500mil","2185.039mil","T","0.00","MTG_M2.5_UNPLATED"
"M3","MTG_M2.5_UNPLATED","1263.78mil","118.11mil","1263.78mil","118.11mil","1263.78mil","118.11mil","T","0.00","MTG_M2.5_UNPLATED"
"M4","MTG_M2.5_UNPLATED","-1500mil","118.11mil","-1500mil","118.11mil","-1500mil","118.11mil","T","0.00","MTG_M2.5_UNPLATED"
"C30","0402C","-566.929mil","1688.976mil","-566.929mil","1688.976mil","-550.197mil","1688.976mil","B","180.00","0.1UF_16V, 0402"
"C31","0402C","-582.677mil","1409.449mil","-582.677mil","1409.449mil","-599.409mil","1409.449mil","B","360.00","0.1UF_16V, 0402"
"C37","0402C","-838.583mil","1425.197mil","-838.583mil","1425.197mil","-838.583mil","1441.929mil","B","270.00","0.1UF_16V, 0402"
"C38","0402C","-1015.748mil","1350.394mil","-1015.748mil","1350.394mil","-1015.748mil","1367.126mil","B","270.00","2.2UF_6V, 0402"
"D11","LED_1X3_SIDE-RED","-1896.653mil","1106.299mil","-1909.449mil","1106.299mil","-1909.449mil","1175.197mil","T","90.00","LED_1X3_SIDE-RED"
"R6","0402R","-1759.842mil","1200.787mil","-1759.842mil","1200.787mil","-1743.11mil","1200.787mil","B","180.00","1K, 0402"

