"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P7","HDR2X1-NOPOP","503.937mil","251.969mil","503.937mil","251.969mil","574.114mil","251.969mil","T","180.00","HDR2 - NOPOP"
"P6","HDR20","-317.716mil","2097.244mil","-767.716mil","2047.244mil","-767.716mil","2047.244mil","T","360.00","ARM-ICE, HDR20"
"P5","HDR2X1-NOPOP","299.213mil","2137.795mil","299.213mil","2137.795mil","299.213mil","2067.618mil","T","90.00","HDR2 - NOPOP"
"L23","0805L","1464.567mil","1460.63mil","1464.567mil","1460.63mil","1425.197mil","1460.63mil","B","360.00","FERRITE_600, 0805"
"L22","NRS5020T","1814.961mil","1692.913mil","1814.961mil","1692.913mil","1814.961mil","1763.78mil","B","270.00","NRS5020T-100M"
"L20","PANASONIC_EXC24C","-1137.793mil","677.167mil","-1137.795mil","677.165mil","-1111.216mil","687.995mil","T","0.00","MURATA_DLP11TB800UL2"
"L18","SRP4020","-1114.173mil","1937.008mil","-1114.173mil","1937.008mil","-1185.039mil","1937.008mil","T","360.00","SRP4020-1R0M"
"L17","SRP4020","-1531.496mil","1149.606mil","-1531.496mil","1149.606mil","-1531.496mil","1078.74mil","B","90.00","SRP4020-1R0M"
"L16","0805L","1464.567mil","1192.913mil","1464.567mil","1192.913mil","1425.197mil","1192.913mil","B","360.00","FERRITE_600, 0805"
"L15","0805L","1720.472mil","1460.63mil","1720.472mil","1460.63mil","1759.842mil","1460.63mil","B","180.00","FERRITE_600, 0805"
"L14","0805L","-1350.394mil","834.646mil","-1350.394mil","834.646mil","-1389.764mil","834.646mil","B","360.00","FERRITE_600, 0805"
"L13","0805L","-885.827mil","641.732mil","-885.827mil","641.732mil","-925.197mil","641.732mil","B","360.00","FERRITE_600, 0805"
"L12","PANASONIC_EXC24C","-1570.868mil","279.526mil","-1570.866mil","279.527mil","-1597.445mil","268.698mil","T","180.00","MURATA_DLP11SA900HL2"
"L11","SRP4020","-527.559mil","1858.268mil","-527.559mil","1858.268mil","-598.425mil","1858.268mil","T","360.00","SRP4020-1R0M"
"L10","SRP4020","437.008mil","657.48mil","437.008mil","657.48mil","437.008mil","586.614mil","T","90.00","SRP4020-1R0M"
"L9","0805L","-1137.795mil","311.024mil","-1137.795mil","311.024mil","-1137.795mil","350.394mil","B","270.00","FERRITE_600, 0805"
"L8","PANASONIC_EXC24C","-602.36mil","598.427mil","-602.362mil","598.425mil","-575.783mil","609.255mil","T","360.00","MURATA_DLP11TB800UL2"
"L7","0402L","165.354mil","1577.661mil","165.354mil","1577.661mil","165.354mil","1594.394mil","B","270.00","FERRITE_600, 0402"
"L6","0402L","-94.488mil","1822.835mil","-94.488mil","1822.835mil","-94.488mil","1839.567mil","B","270.00","FERRITE_600, 0402"
"L5","0402L","-51.181mil","1822.835mil","-51.181mil","1822.835mil","-51.181mil","1839.567mil","B","270.00","FERRITE_600, 0402"
"L4","SRP4020","397.638mil","1665.354mil","397.638mil","1665.354mil","397.638mil","1594.488mil","T","90.00","SRP4020-1R0M"
"L2","SRP4020","1468.504mil","1696.85mil","1468.504mil","1696.85mil","1468.504mil","1767.716mil","B","270.00","SRP4020-1R0M"
"D21","SOT-523","78.74mil","1826.772mil","78.74mil","1826.772mil","51.181mil","1846.457mil","T","270.00","BAT54T, SOT-523"
"D20","SMA","1866.634mil","1381.89mil","1866.142mil","1381.89mil","1867.126mil","1303.15mil","B","90.00","MBRA340, SMA"
"D10","RCLAMP0524","-1251.969mil","645.669mil","-1251.969mil","645.669mil","-1269.685mil","606.299mil","T","90.00","SEMTECH_RCLAMP0524PA"
"D9","SOT-23","212.598mil","146.161mil","212.598mil","145.669mil","173.228mil","106.299mil","T","360.00","BAT54C, SOT-23"
"D6","SOT-277","996.063mil","141.732mil","1094.488mil","141.732mil","1070.866mil","185.039mil","T","90.00","V10PN50, SOT-277"
"D5","SOD-323","-1606.299mil","358.268mil","-1606.299mil","358.268mil","-1559.055mil","358.268mil","T","180.00","BAT60, SOD-323"
"D4","SOT-23","1275.099mil","452.756mil","1275.591mil","452.756mil","1314.961mil","492.126mil","B","270.00","BAT54C, SOT-23"
"D2","RCLAMP0524","-720.472mil","566.929mil","-720.472mil","566.929mil","-702.756mil","606.299mil","T","270.00","SEMTECH_RCLAMP0524PA"
"C155","0805C","429.134mil","405.512mil","429.134mil","405.512mil","429.134mil","444.882mil","T","270.00","10UF_10V, 0805"
"C50","0805C","937.008mil","299.213mil","937.008mil","299.213mil","897.638mil","299.213mil","T","360.00","10UF_10V, 0805"
"C153","ELEC_8MM_8MM","-1149.606mil","874.016mil","-1149.606mil","874.016mil","-1149.606mil","805.118mil","T","90.00","220UF_16V_POLY_8X8"
"C152","0402C","-669.291mil","748.032mil","-669.291mil","748.032mil","-686.024mil","748.032mil","B","360.00","0.1UF_16V, 0402"
"C151","0402C","-472.441mil","838.583mil","-472.441mil","838.583mil","-455.709mil","838.583mil","B","180.00","0.1UF_16V, 0402"
"C150","0402C","-488.189mil","748.032mil","-488.189mil","748.032mil","-471.457mil","748.032mil","B","180.00","2.2UF_6V, 0402"
"C149","0402C","-578.74mil","716.535mil","-578.74mil","716.535mil","-578.74mil","699.803mil","B","90.00","2.2UF_6V, 0402"
"C148","0402C","-354.331mil","814.961mil","-354.331mil","814.961mil","-371.063mil","814.961mil","B","360.00","0.1UF_16V, 0402"
"C147","0402C","-354.331mil","771.654mil","-354.331mil","771.654mil","-371.063mil","771.654mil","B","360.00","2.2UF_6V, 0402"
"C146","0402C","-787.402mil","814.961mil","-787.402mil","814.961mil","-770.669mil","814.961mil","B","180.00","0.1UF_16V, 0402"
"C145","0402C","-787.402mil","771.654mil","-787.402mil","771.654mil","-770.669mil","771.654mil","B","180.00","2.2UF_6V, 0402"
"C144","0402C","137.795mil","1244.094mil","137.795mil","1244.094mil","137.795mil","1260.827mil","B","270.00","0.1UF_16V, 0402"
"C143","0402C","503.937mil","1688.976mil","503.937mil","1688.976mil","487.205mil","1688.976mil","B","360.00","0.1UF_16V, 0402"
"C141","0402C","-838.583mil","1692.913mil","-838.583mil","1692.913mil","-838.583mil","1676.181mil","B","90.00","2.2UF_6V, 0402"
"C140","0402C","-870.079mil","944.882mil","-870.079mil","944.882mil","-886.811mil","944.882mil","B","360.00","22PF_50V, 0402"
"C139","0402C","665.354mil","751.968mil","665.354mil","751.968mil","665.354mil","768.701mil","B","270.00","2.2UF_6V, 0402"
"C138","0402C","858.268mil","2192.913mil","858.268mil","2192.913mil","858.268mil","2209.646mil","B","270.00","1UF_10V, 0402"
"C137","0402C","1862.205mil","2015.748mil","1862.205mil","2015.748mil","1862.205mil","1999.016mil","B","90.00","2200PF_50V, 0402"
"C136","ELEC_8MM_11.5MM","964.567mil","1003.937mil","964.567mil","1003.937mil","1033.465mil","1003.937mil","T","180.00","220UF_35V, ELEC_8X11.5"
"C135","1210C","1866.142mil","1118.11mil","1866.142mil","1118.11mil","1866.142mil","1177.165mil","B","270.00","22UF_25V, 1210"
"C134","0805C","1885.827mil","1889.764mil","1885.827mil","1889.764mil","1885.827mil","1850.394mil","B","90.00","10UF_10V, 0805"
"C133","0805C","-952.756mil","1937.008mil","-952.756mil","1937.008mil","-952.756mil","1897.638mil","T","90.00","22UF_6V, 0805"
"C132","0603C","-952.756mil","2106.299mil","-952.756mil","2106.299mil","-952.756mil","2074.803mil","T","90.00","10UF_6V, 0603"
"C131","0402C","-1185.039mil","1779.528mil","-1185.039mil","1779.528mil","-1168.307mil","1779.528mil","T","180.00","0PF_DNP, 0402"
"C130","0402C","-870.079mil","850.394mil","-870.079mil","850.394mil","-853.346mil","850.394mil","B","180.00","22PF_50V, 0402"
"C129","0402C","-728.346mil","1059.055mil","-728.346mil","1059.055mil","-728.346mil","1042.323mil","T","90.00","0.1UF_16V, 0402"
"C128","0805C","645.669mil","153.543mil","645.669mil","153.543mil","606.299mil","153.543mil","T","360.00","10UF_10V, 0805"
"C127","0805C","-496.063mil","1933.071mil","-496.063mil","1933.071mil","-456.693mil","1933.071mil","B","180.00","22UF_6V, 0805"
"C126","0805C","-858.268mil","1854.331mil","-858.268mil","1854.331mil","-858.268mil","1893.701mil","T","270.00","10UF_10V, 0805"
"C125","0402C","-598.425mil","1937.008mil","-598.425mil","1937.008mil","-598.425mil","1920.276mil","B","90.00","0PF_DNP, 0402"
"C124","0603C","-1885.827mil","551.181mil","-1885.827mil","551.181mil","-1885.827mil","582.677mil","B","270.00","10UF_6V, 0603"
"C123","0402C","-1885.827mil","637.795mil","-1885.827mil","637.795mil","-1869.094mil","637.795mil","B","180.00","1UF_10V, 0402"
"C122","0402C","-55.118mil","1586.614mil","-55.118mil","1586.614mil","-38.386mil","1586.614mil","B","180.00","0.1UF_16V, 0402"
"C121","0805C","-1665.354mil","1149.606mil","-1665.354mil","1149.606mil","-1665.354mil","1110.236mil","B","90.00","22UF_6V, 0805"
"C120","0402C","-1279.528mil","1062.008mil","-1279.528mil","1062.008mil","-1296.26mil","1062.008mil","T","360.00",".01UF_25V, 0402"
"C119","1206C","-1248.032mil","1149.606mil","-1248.032mil","1149.606mil","-1248.032mil","1208.661mil","B","270.00","22UF_10V, 1206"
"C118","ELEC_8MM_8MM","625.984mil","1003.937mil","625.984mil","1003.937mil","694.882mil","1003.937mil","T","180.00","220UF_16V_POLY_8X8"
"C117","ELEC_8MM_8MM","625.984mil","1350.394mil","625.984mil","1350.394mil","694.882mil","1350.394mil","T","180.00","220UF_16V_POLY_8X8"
"C115","0402C","-248.031mil","1688.976mil","-248.031mil","1688.976mil","-248.031mil","1672.244mil","B","90.00","1UF_10V, 0402"
"C114","0402C","-212.598mil","1708.661mil","-212.598mil","1708.661mil","-212.598mil","1691.929mil","B","90.00","1UF_10V, 0402"
"C113","0402C","-255.905mil","1925.197mil","-255.905mil","1925.197mil","-255.905mil","1908.465mil","B","90.00","1UF_10V, 0402"
"C112","0402C","66.929mil","1244.094mil","66.929mil","1244.094mil","66.929mil","1260.827mil","B","270.00","2.2UF_6V, 0402"
"C111","0402C","39.37mil","1448.819mil","39.37mil","1448.819mil","39.37mil","1432.087mil","B","90.00","0.1UF_16V, 0402"
"C110","0402C","-161.417mil","1330.709mil","-161.417mil","1330.709mil","-161.417mil","1313.976mil","B","90.00","0.1UF_16V, 0402"
"C109","0402C","-98.425mil","1322.835mil","-98.425mil","1322.835mil","-98.425mil","1306.102mil","B","90.00","0.1UF_16V, 0402"
"C108","0402C","-19.685mil","1244.094mil","-19.685mil","1244.094mil","-19.685mil","1260.827mil","B","270.00","0.1UF_16V, 0402"
"C107","0402C","114.173mil","1519.685mil","114.173mil","1519.685mil","97.441mil","1519.685mil","B","360.00","0.1UF_16V, 0402"
"C106","0402C","-169.291mil","1725.394mil","-169.291mil","1725.394mil","-169.291mil","1708.661mil","B","90.00",".01UF_25V, 0402"
"C105","0402C","-82.677mil","1688.976mil","-82.677mil","1688.976mil","-82.677mil","1672.244mil","B","90.00","1UF_10V, 0402"
"C104","0402C","3.937mil","1688.976mil","3.937mil","1688.976mil","3.937mil","1672.244mil","B","90.00","1UF_10V, 0402"
"C103","0402C","-125.984mil","1708.661mil","-125.984mil","1708.661mil","-125.984mil","1691.929mil","B","90.00","1UF_10V, 0402"
"C102","0402C","-838.583mil","1366.142mil","-838.583mil","1366.142mil","-821.85mil","1366.142mil","B","180.00","2.2UF_6V, 0402"
"C101","0402C","-822.835mil","1625.984mil","-822.835mil","1625.984mil","-839.567mil","1625.984mil","B","360.00","0.1UF_16V, 0402"
"C100","0402C","-779.528mil","1389.764mil","-779.528mil","1389.764mil","-779.528mil","1406.496mil","B","270.00","0.1UF_16V, 0402"
"C99","0402C","-625.984mil","1559.055mil","-625.984mil","1559.055mil","-625.984mil","1542.323mil","B","90.00","0.1UF_16V, 0402"
"C98","0402C","-1244.094mil","2161.417mil","-1244.094mil","2161.417mil","-1244.094mil","2144.685mil","T","90.00","0.1UF_16V, 0402"
"C97","0402C","173.228mil","1354.331mil","173.228mil","1354.331mil","156.496mil","1354.331mil","B","360.00","2.2UF_6V, 0402"
"C96","0402C","-118.11mil","1594.488mil","-118.11mil","1594.488mil","-118.11mil","1611.22mil","B","270.00","0.1UF_16V, 0402"
"C95","0402C","90.551mil","1641.732mil","90.551mil","1641.732mil","90.551mil","1625mil","B","90.00","0.1UF_16V, 0402"
"C94","0402C","-240.157mil","1633.858mil","-240.157mil","1633.858mil","-223.425mil","1633.858mil","B","180.00","0.1UF_16V, 0402"
